YearID,YearMonth
1,2012-07
2,2012-08
3,2012-09
4,2012-10
5,2012-11
6,2012-12
7,2013-01
8,2013-02
9,2013-03
10,2013-04
11,2013-05
12,2013-06
13,2013-07
14,2013-08
15,2013-09
16,2013-10
17,2013-11
18,2013-12
19,2014-01
20,2014-02
21,2014-03
22,2014-04
23,2014-05
24,2014-06
25,2014-07
26,2014-08
27,2014-09
28,2014-10
29,2014-11
30,2014-12
31,2015-01
32,2015-02
33,2015-03
34,2015-04
35,2015-05
36,2015-06
37,2015-07
38,2015-08
39,2015-09
40,2015-10
41,2015-11
42,2015-12
43,2016-01
44,2016-02
45,2016-03
46,2016-04
47,2016-05
48,2016-06
49,2016-07
50,2016-08
51,2016-09
52,2016-10
53,2016-11
54,2016-12
55,2017-01
56,2017-02
57,2017-03
58,2017-04
59,2017-05
60,2017-06
61,2017-07
62,2017-08
63,2017-09
64,2017-10
65,2017-11
66,2017-12
67,2018-01
68,2018-02
69,2018-03
70,2018-04
71,2018-05
72,2018-06
73,2018-07
74,2018-08
75,2018-09
76,2018-10
77,2018-11
78,2018-12
79,2019-01
80,2019-02
81,2019-03
82,2019-04
83,2019-05
84,2019-06
85,2019-07
86,2019-08
87,2019-09
88,2019-10
89,2019-11
90,2019-12
91,2020-01
92,2020-02
93,2020-03
94,2020-04
95,2020-05
96,2020-06
97,2020-07
98,2020-08
99,2020-09
100,2020-10
101,2020-11
102,2020-12
103,2021-01
104,2021-02
105,2021-03
106,2021-04
107,2021-05
108,2021-06
109,2021-07
110,2021-08
111,2021-09
112,2021-10
113,2021-11
114,2021-12
115,2022-01
116,2022-02
117,2022-03
118,2022-04
119,2022-05
120,2022-06
121,2022-07
122,2022-08
123,2022-09
124,2022-10
125,2022-11
126,2022-12
127,2023-01
128,2023-02
129,2023-03
130,2023-04
131,2023-05
132,2023-06
133,2023-07
134,2023-08
135,2023-09
136,2023-10
