CompanyName,YearMonth,MonthlyRevenue,MonthlyOrders
"Victuailles en stock",2012-07,158586.27,4
"Rancho grande",2012-07,119717.22,3
"Reggiani Caseifici",2012-07,104196.57,4
"Familia Arquibaldo",2012-07,88395.62,2
"Morgenstern Gesundkost",2012-07,81794.8,2
IT,2012-07,75921.82,3
"Drachenblut Delikatessen",2012-07,72476.02,2
"Que Delícia",2012-07,64775.1,2
"Galería del gastrónomo",2012-07,62150.88,2
"Folies gourmandes",2012-07,61758.78,1
"Chop-suey Chinese",2012-07,60918.92,1
"Spécialités du monde",2012-07,60217.38,1
"Around the Horn",2012-07,58738.3,2
GROSELLA-Restaurante,2012-07,55952.14,1
"Pericles Comidas clásicas",2012-07,54151.73,2
"France restauration",2012-07,53012.7,1
"Tradição Hipermercados",2012-07,52915.01,2
"Lonesome Pine Restaurant",2012-07,52573.43,1
"Centro comercial Moctezuma",2012-07,50595.85,1
"Save-a-lot Markets",2012-07,50313.94,1
"Bon app'",2012-07,44532.36,2
"Simons bistro",2012-07,42942.83,1
"Furia Bacalhau e Frutos do Mar",2012-07,41230.31,1
"Let's Stop N Shop",2012-07,40970.45,1
HILARION-Abastos,2012-07,40632.41,1
"Franchi S.p.A.",2012-07,32054.53,1
"Wolski  Zajazd",2012-07,31950.8,1
"Hungry Coyote Import Store",2012-07,30693.71,1
North/South,2012-07,30387.75,1
QUICK-Stop,2012-07,29555.15,2
"Great Lakes Food Market",2012-07,28992.85,1
"Bólido Comidas preparadas",2012-07,27492.15,2
LINO-Delicateses,2012-07,25291.2,1
"Ricardo Adocicados",2012-07,24589.35,1
"Folk och fä HB",2012-07,23413.4,1
"Rattlesnake Canyon Grocery",2012-07,20809.41,1
LILA-Supermercado,2012-07,20522.03,1
"Suprêmes délices",2012-07,15827.37,1
"Ottilies Käseladen",2012-07,13073.52,1
"Eastern Connection",2012-07,12950.4,1
"Antonio Moreno Taquería",2012-07,10615.4,1
"Split Rail Beer & Ale",2012-07,10326.2,1
"The Big Cheese",2012-07,9983.7,1
Vaffeljernet,2012-07,6383.1,1
"Hungry Owl All-Night Grocers",2012-07,5012.36,1
"Queen Cozinha",2012-07,4336.93,1
"Tortuga Restaurante",2012-07,2164.25,1
"Consolidated Holdings",2012-07,323.0,1
"Folies gourmandes",2012-08,147905.67,4
LINO-Delicateses,2012-08,136311.22,3
HILARION-Abastos,2012-08,131829.28,4
"Simons bistro",2012-08,122783.62,3
"Berglunds snabbköp",2012-08,97505.32,3
"Chop-suey Chinese",2012-08,94780.64,2
"Morgenstern Gesundkost",2012-08,92674.68,3
"Bon app'",2012-08,89656.83,2
"France restauration",2012-08,89592.32,2
North/South,2012-08,88684.02,2
"Bólido Comidas preparadas",2012-08,88020.04,3
"Laughing Bacchus Wine Cellars",2012-08,87725.87,3
"Du monde entier",2012-08,86252.01,2
"Let's Stop N Shop",2012-08,85734.42,2
"Eastern Connection",2012-08,81039.68,2
"Vins et alcools Chevalier",2012-08,80351.37,2
"Save-a-lot Markets",2012-08,77007.38,2
IT,2012-08,70834.53,5
Frankenversand,2012-08,70694.82,3
"Maison Dewey",2012-08,70289.36,4
"Split Rail Beer & Ale",2012-08,69893.8,2
"Reggiani Caseifici",2012-08,68384.94,4
"Godos Cocina Típica",2012-08,67347.68,2
"La maison d'Asie",2012-08,66517.26,2
"Die Wandernde Kuh",2012-08,62701.37,1
"Bottom-Dollar Markets",2012-08,61701.58,1
"Ernst Handel",2012-08,59116.51,1
"FISSA Fabrica Inter. Salchichas S.A.",2012-08,55460.69,3
"White Clover Markets",2012-08,53071.12,2
"Rancho grande",2012-08,52464.63,1
"Hungry Owl All-Night Grocers",2012-08,50829.09,1
"B's Beverages",2012-08,47007.74,1
"Tradição Hipermercados",2012-08,45933.26,2
"Trail's Head Gourmet Provisioners",2012-08,45635.88,1
"Hanari Carnes",2012-08,44194.36,2
"Centro comercial Moctezuma",2012-08,43844.34,1
"Consolidated Holdings",2012-08,42830.63,1
"Romero y tomillo",2012-08,42540.44,1
"Galería del gastrónomo",2012-08,41898.76,2
"Drachenblut Delikatessen",2012-08,40335.79,1
"Wolski  Zajazd",2012-08,37874.05,2
"Ricardo Adocicados",2012-08,37439.2,1
"Blondesddsl père et fils",2012-08,36995.92,1
"Folk och fä HB",2012-08,36795.34,2
"Santé Gourmet",2012-08,35855.08,1
"Wartian Herkku",2012-08,34521.44,1
"Around the Horn",2012-08,30849.48,1
"Océano Atlántico Ltda.",2012-08,30511.71,1
LILA-Supermercado,2012-08,28068.3,1
"Alfreds Futterkiste",2012-08,26770.55,2
"Ottilies Käseladen",2012-08,24775.52,1
"Antonio Moreno Taquería",2012-08,24192.61,1
"Que Delícia",2012-08,21764.45,1
"Richter Supermarkt",2012-08,21088.36,1
"Familia Arquibaldo",2012-08,20900.17,1
"La corne d'abondance",2012-08,20687.05,1
"Victuailles en stock",2012-08,19649.17,1
"Piccolo und mehr",2012-08,18061.75,1
"Seven Seas Imports",2012-08,16597.2,1
"Königlich Essen",2012-08,15588.87,2
"Pericles Comidas clásicas",2012-08,14855.85,1
GROSELLA-Restaurante,2012-08,13226.5,2
"Hungry Coyote Import Store",2012-08,12362.9,1
"The Cracker Box",2012-08,8652.17,1
"Ana Trujillo Emparedados y helados",2012-08,8243.4,1
"Cactus Comidas para llevar",2012-08,4340.7,1
"Queen Cozinha",2012-08,2489.1,1
"Spécialités du monde",2012-08,2081.0,1
"Paris spécialités",2012-08,255.0,1
"Paris spécialités",2012-09,158508.09,4
"Godos Cocina Típica",2012-09,151368.82,4
"Spécialités du monde",2012-09,132614.0,4
"Queen Cozinha",2012-09,126847.25,4
LILA-Supermercado,2012-09,105463.45,3
"Blondesddsl père et fils",2012-09,102999.25,2
"Santé Gourmet",2012-09,102596.52,4
"Antonio Moreno Taquería",2012-09,98968.35,2
"Lazy K Kountry Store",2012-09,92869.74,2
"Bólido Comidas preparadas",2012-09,84934.83,4
IT,2012-09,81642.38,3
"Richter Supermarkt",2012-09,77405.69,2
"Suprêmes délices",2012-09,76285.69,2
"France restauration",2012-09,71307.47,3
"Wartian Herkku",2012-09,68837.79,2
"Laughing Bacchus Wine Cellars",2012-09,66475.17,2
"Comércio Mineiro",2012-09,63607.34,4
"Furia Bacalhau e Frutos do Mar",2012-09,59579.25,2
"Hungry Owl All-Night Grocers",2012-09,58855.36,2
"Gourmet Lanchonetes",2012-09,58395.86,2
"Bon app'",2012-09,58188.23,2
Frankenversand,2012-09,57053.83,1
"Seven Seas Imports",2012-09,56119.42,2
"Tradição Hipermercados",2012-09,55868.45,1
GROSELLA-Restaurante,2012-09,51858.19,2
"Save-a-lot Markets",2012-09,50886.89,1
QUICK-Stop,2012-09,50369.95,1
"Mère Paillarde",2012-09,49747.66,2
Vaffeljernet,2012-09,48580.96,1
"Consolidated Holdings",2012-09,48513.35,1
"The Big Cheese",2012-09,47742.94,1
"Maison Dewey",2012-09,47336.8,2
"Berglunds snabbköp",2012-09,47238.17,1
"Island Trading",2012-09,46098.09,3
"Hungry Coyote Import Store",2012-09,44019.14,1
"Morgenstern Gesundkost",2012-09,43613.16,1
"Folk och fä HB",2012-09,41430.02,1
"Magazzini Alimentari Riuniti",2012-09,38434.15,1
"Alfreds Futterkiste",2012-09,37222.19,1
"Tortuga Restaurante",2012-09,36864.82,2
"Ernst Handel",2012-09,35929.01,1
"Great Lakes Food Market",2012-09,35760.83,1
"White Clover Markets",2012-09,35468.35,1
"Bottom-Dollar Markets",2012-09,33737.3,1
"Centro comercial Moctezuma",2012-09,33455.84,1
LINO-Delicateses,2012-09,32373.42,1
"Familia Arquibaldo",2012-09,32289.82,1
"The Cracker Box",2012-09,30730.75,1
"Lonesome Pine Restaurant",2012-09,28800.79,2
"Cactus Comidas para llevar",2012-09,28436.65,1
"Ana Trujillo Emparedados y helados",2012-09,28336.6,2
"Toms Spezialitäten",2012-09,27197.74,1
"Chop-suey Chinese",2012-09,24929.78,1
"Franchi S.p.A.",2012-09,23469.42,1
"Que Delícia",2012-09,22908.0,1
"Vins et alcools Chevalier",2012-09,21437.66,1
"Old World Delicatessen",2012-09,20768.6,1
"Wellington Importadora",2012-09,18641.1,1
"Trail's Head Gourmet Provisioners",2012-09,18370.05,1
"La maison d'Asie",2012-09,16157.54,1
North/South,2012-09,14323.45,1
"Folies gourmandes",2012-09,13678.7,1
"Pericles Comidas clásicas",2012-09,10207.7,1
"Simons bistro",2012-09,9879.71,1
HILARION-Abastos,2012-09,8752.75,1
"Königlich Essen",2012-09,8023.55,1
"FISSA Fabrica Inter. Salchichas S.A.",2012-09,7623.03,1
"La corne d'abondance",2012-09,7372.66,1
"Rancho grande",2012-09,7176.1,1
"Reggiani Caseifici",2012-09,4201.06,1
"Wilman Kala",2012-09,1920.1,1
"Princesa Isabel Vinhos",2012-09,1038.21,1
IT,2012-10,137752.76,3
"Hanari Carnes",2012-10,133178.23,5
"Wellington Importadora",2012-10,133121.03,3
"The Cracker Box",2012-10,123821.47,3
"Folk och fä HB",2012-10,111022.61,2
"B's Beverages",2012-10,105950.66,3
"Rattlesnake Canyon Grocery",2012-10,102055.21,4
"La maison d'Asie",2012-10,94866.88,3
"Die Wandernde Kuh",2012-10,93832.4,2
"Pericles Comidas clásicas",2012-10,86235.99,2
North/South,2012-10,83874.06,2
"Trail's Head Gourmet Provisioners",2012-10,83409.23,3
"Gourmet Lanchonetes",2012-10,78236.41,3
"Lehmanns Marktstand",2012-10,75373.87,3
Frankenversand,2012-10,73757.81,2
"Ricardo Adocicados",2012-10,70588.19,2
"Wilman Kala",2012-10,68079.02,2
"Que Delícia",2012-10,66918.72,3
"Princesa Isabel Vinhos",2012-10,63538.77,3
"Maison Dewey",2012-10,61891.37,2
LILA-Supermercado,2012-10,58563.92,1
"Familia Arquibaldo",2012-10,57320.7,2
"Seven Seas Imports",2012-10,57051.07,2
"Folies gourmandes",2012-10,53150.48,2
"Paris spécialités",2012-10,50599.17,1
"La corne d'abondance",2012-10,49952.5,1
"Reggiani Caseifici",2012-10,48443.45,1
"Godos Cocina Típica",2012-10,47008.45,2
"Tortuga Restaurante",2012-10,46651.63,1
"Hungry Owl All-Night Grocers",2012-10,44714.17,2
"Save-a-lot Markets",2012-10,42933.24,1
"The Big Cheese",2012-10,41777.85,1
"Around the Horn",2012-10,41109.24,1
"Antonio Moreno Taquería",2012-10,41024.15,1
"Bólido Comidas preparadas",2012-10,40449.91,2
"Ernst Handel",2012-10,37988.19,1
"Richter Supermarkt",2012-10,36259.97,1
"Alfreds Futterkiste",2012-10,35474.2,1
"FISSA Fabrica Inter. Salchichas S.A.",2012-10,33215.48,1
"Eastern Connection",2012-10,31872.59,1
"Blondesddsl père et fils",2012-10,31268.2,2
"Morgenstern Gesundkost",2012-10,30373.9,1
"Great Lakes Food Market",2012-10,29450.15,1
"Toms Spezialitäten",2012-10,28173.92,1
"Berglunds snabbköp",2012-10,27417.16,1
"Magazzini Alimentari Riuniti",2012-10,24830.73,1
"Tradição Hipermercados",2012-10,24237.71,1
"Laughing Bacchus Wine Cellars",2012-10,24219.6,2
"Du monde entier",2012-10,23671.2,1
"Split Rail Beer & Ale",2012-10,22804.06,1
"Victuailles en stock",2012-10,22002.6,1
"Hungry Coyote Import Store",2012-10,21318.49,2
QUICK-Stop,2012-10,16887.03,2
"Simons bistro",2012-10,16850.75,1
