YearMonth,Supplier,Revenue,NumberOfSales
2012-07,"Aux joyeux ecclésiastiques",269546.0,45
2012-07,"Bigfoot Breweries",46638.0,57
2012-07,"Cooperativa de Quesos 'Las Cabras'",55015.0,43
2012-07,"Escargots Nouveaux",12971.75,41
2012-07,"Exotic Liquids",38466.0,50
2012-07,"Formaggi Fortini s.r.l.",71438.5,52
2012-07,"Forêts d'érables",73782.0,48
2012-07,"G'day, Mate",85850.8,54
2012-07,"Gai pâturage",80987.0,49
2012-07,"Grandma Kelly's Homestead",88585.0,50
2012-07,"Heli Süßwaren GmbH & Co. KG",86313.83,54
2012-07,"Karkki Oy",55640.75,51
2012-07,"Leka Trading",65390.8,53
2012-07,Lyngbysild,21513.0,52
2012-07,"Ma Maison",30802.1,46
2012-07,"Mayumi's",44472.0,55
2012-07,"New England Seafood Cannery",27906.55,49
2012-07,"New Orleans Cajun Delights",64250.45,56
2012-07,"Nord-Ost-Fisch Handelsgesellschaft mbH",26278.35,38
2012-07,"Norske Meierier",59335.0,54
2012-07,"PB Knäckebröd AB",30606.0,50
2012-07,"Pasta Buttini s.r.l.",56449.5,50
2012-07,"Pavlova, Ltd.",174133.55,60
2012-07,"Plutzer Lebensmittelgroßmärkte AG",185528.67,58
2012-07,"Refrescos Americanas LTDA",3852.0,37
2012-07,"Specialty Biscuits, Ltd.",96034.8,54
2012-07,"Svensk Sjöföda AB",63346.0,59
2012-07,"Tokyo Traders",128311.0,46
2012-07,"Zaanse Snoepfabriek",22775.0,49
2012-08,"Aux joyeux ecclésiastiques",453395.0,81
2012-08,"Bigfoot Breweries",70236.0,90
2012-08,"Cooperativa de Quesos 'Las Cabras'",91347.0,84
2012-08,"Escargots Nouveaux",20405.0,65
2012-08,"Exotic Liquids",65871.0,88
2012-08,"Formaggi Fortini s.r.l.",132735.9,93
2012-08,"Forêts d'érables",126888.7,80
2012-08,"G'day, Mate",128194.4,81
2012-08,"Gai pâturage",152645.0,78
2012-08,"Grandma Kelly's Homestead",148605.0,98
2012-08,"Heli Süßwaren GmbH & Co. KG",137619.98,94
2012-08,"Karkki Oy",86692.25,95
2012-08,"Leka Trading",121762.65,99
2012-08,Lyngbysild,37232.0,87
2012-08,"Ma Maison",51498.55,85
2012-08,"Mayumi's",75006.75,96
2012-08,"New England Seafood Cannery",43508.4,85
2012-08,"New Orleans Cajun Delights",127220.1,94
2012-08,"Nord-Ost-Fisch Handelsgesellschaft mbH",43779.99,64
2012-08,"Norske Meierier",97360.5,91
2012-08,"PB Knäckebröd AB",49890.0,82
2012-08,"Pasta Buttini s.r.l.",96188.5,84
2012-08,"Pavlova, Ltd.",270298.35,104
2012-08,"Plutzer Lebensmittelgroßmärkte AG",362532.62,100
2012-08,"Refrescos Americanas LTDA",6939.0,61
2012-08,"Specialty Biscuits, Ltd.",184748.4,96
2012-08,"Svensk Sjöföda AB",99024.0,97
2012-08,"Tokyo Traders",236134.0,92
2012-08,"Zaanse Snoepfabriek",39116.75,89
2012-09,"Aux joyeux ecclésiastiques",412896.0,82
2012-09,"Bigfoot Breweries",75476.0,95
2012-09,"Cooperativa de Quesos 'Las Cabras'",92580.0,87
2012-09,"Escargots Nouveaux",19504.0,58
2012-09,"Exotic Liquids",70472.0,88
2012-09,"Formaggi Fortini s.r.l.",119569.3,90
2012-09,"Forêts d'érables",124984.8,81
2012-09,"G'day, Mate",142576.8,91
2012-09,"Gai pâturage",155167.0,89
2012-09,"Grandma Kelly's Homestead",142655.0,89
2012-09,"Heli Süßwaren GmbH & Co. KG",131999.16,92
2012-09,"Karkki Oy",81251.25,82
2012-09,"Leka Trading",127811.2,88
2012-09,Lyngbysild,34257.0,83
2012-09,"Ma Maison",46991.2,82
2012-09,"Mayumi's",70615.75,95
2012-09,"New England Seafood Cannery",43435.05,79
2012-09,"New Orleans Cajun Delights",124813.1,102
2012-09,"Nord-Ost-Fisch Handelsgesellschaft mbH",38317.2,58
2012-09,"Norske Meierier",85159.5,93
2012-09,"PB Knäckebröd AB",50289.0,80
2012-09,"Pasta Buttini s.r.l.",90890.0,85
2012-09,"Pavlova, Ltd.",278279.65,101
2012-09,"Plutzer Lebensmittelgroßmärkte AG",331536.17,102
2012-09,"Refrescos Americanas LTDA",5944.5,58
2012-09,"Specialty Biscuits, Ltd.",188712.6,102
2012-09,"Svensk Sjöföda AB",98027.0,93
2012-09,"Tokyo Traders",224094.0,90
2012-09,"Zaanse Snoepfabriek",31840.75,78
2012-10,"Aux joyeux ecclésiastiques",408110.0,77
2012-10,"Bigfoot Breweries",64170.0,84
2012-10,"Cooperativa de Quesos 'Las Cabras'",86912.0,84
2012-10,"Escargots Nouveaux",16880.5,54
2012-10,"Exotic Liquids",70122.0,85
2012-10,"Formaggi Fortini s.r.l.",114974.5,77
2012-10,"Forêts d'érables",109952.9,78
2012-10,"G'day, Mate",132511.2,79
2012-10,"Gai pâturage",119294.0,75
